docno	IDX_Par	IDX_SMI
997	438	128
998	439	183
999	439	287
1000	439	287
1001	439	287
1002	440	287
1003	440	92
1004	440	197
1005	440	288
1006	441	287
1007	441	92
1008	442	289
1009	443	140
1010	443	270
1011	443	139
1012	443	290
1013	443	91
1014	443	93
1015	443	291
1016	443	292
1017	443	293
1018	444	99
1019	444	108
1020	444	93
1021	444	108
1022	444	93
1023	444	294
1024	444	295
1025	444	284
1026	444	284
1027	444	72
1028	444	73
1029	445	157
1030	445	296
1031	445	157
1032	445	157
1033	445	141
1034	445	296
1035	445	297
1036	445	91
1037	445	93
1038	445	298
1039	446	299
1040	447	300
1041	447	139
1042	448	301
1043	448	139
1044	448	302
1045	448	302
1046	449	104
1047	449	299
1048	450	303
1049	450	104
1050	450	299
1051	451	304
1052	452	304
1053	452	305
1054	453	139
1055	454	306
1056	454	139
1057	454	104
1058	455	141
1059	455	141
1060	455	141
1061	456	300
1062	457	293
1063	457	307
1064	457	308
1065	458	309
1066	458	310
1067	458	141
1068	459	299
1069	460	141
1070	460	141
1071	460	141
1072	461	99
1073	461	311
1074	462	104
1075	463	141
1076	463	141
1077	464	139
1078	464	141
1079	465	139
1080	465	302
1081	466	92
1082	466	310
1083	467	99
1084	467	300
1085	467	139
1086	468	92
1087	469	312
1088	469	313
1089	469	314
1090	470	141
1091	470	141
1092	470	141
1093	471	99
1094	471	311
1095	472	302
1096	473	94
1097	474	315
1098	474	316
1099	474	110
1100	475	92
1101	475	310
1102	476	99
1103	476	311
1104	477	92
1105	478	82
1106	478	317
1107	479	294
1108	480	91
1109	480	91
1110	480	318
1111	480	294
1112	481	99
1113	481	319
1114	481	294
1115	482	294
1116	483	103
1117	483	290
1118	484	294
1119	485	309
1120	485	298
1121	485	298
1122	486	139
1123	487	320
1124	487	139
1125	487	302
1126	488	321
1127	488	310
1128	488	299
1129	488	92
1130	488	92
1131	489	139
1132	489	139
1133	490	92
1134	490	139
1135	491	139
1136	491	139
1137	492	104
1138	492	299
1139	493	322
1140	493	104
1141	494	323
1142	494	324
1143	495	325
1144	495	326
1145	495	197
1146	495	327
1147	495	104
1148	495	326
1149	495	183
1150	495	327
1151	495	104
1152	496	326
1153	496	183
1154	496	328
1155	496	104
1156	496	329
1157	496	326
1158	496	183
1159	496	330
1160	497	104
1161	497	326
1162	497	183
1163	497	331
1164	497	104
1165	497	326
1166	497	183
1167	498	332
1168	498	104
1169	498	326
1170	498	183
1171	498	333
1172	498	104
1173	499	326
1174	499	183
1175	499	334
1176	499	104
1177	499	324
1178	499	197
1179	499	334
1180	499	104
1181	500	326
1182	500	335
1183	500	334
1184	500	104
1185	500	326
1186	500	183
1187	500	336
1188	501	104
1189	501	337
1190	501	183
1191	501	332
1192	501	104
1193	501	338
1194	501	337
1195	501	183
1196	502	327
1197	502	104
1198	502	337
1199	502	197
1200	502	339
1201	502	104
1202	503	337
1203	503	340
1204	503	332
1205	503	104
1206	504	337
1207	504	341
1208	504	332
1209	504	104
1210	505	342
1211	505	337
1212	505	343
1213	505	330
1214	505	104
1215	505	344
1216	505	337
1217	505	183
1218	505	345
1219	506	104
1220	506	326
1221	506	197
1222	506	346
1223	506	104
1224	506	347
1225	506	337
1226	506	183
1227	507	346
1228	507	104
1229	507	348
1230	508	326
1231	508	349
1232	508	350
1233	508	104
1234	509	71
1235	510	271
1236	511	110
1237	511	141
1238	511	148
1239	512	351
1240	512	352
1241	513	116
1242	513	352
1243	513	353
1244	513	271
1245	514	354
1246	514	148
1247	515	355
1248	516	271
1249	516	356
1250	517	357
1251	517	358
1252	518	357
1253	518	358
1254	519	116
1255	520	142
1256	520	142
1257	521	96
1258	522	96
1259	523	359
1260	523	360
1261	523	361
1262	523	355
1263	524	126
1264	524	92
1265	524	126
1266	524	99
1267	524	92
1268	524	297
1269	524	73
1270	524	304
1271	524	362
1272	524	363
1273	524	364
1274	524	303
1275	525	365
1276	526	73
1277	526	78
1278	526	73
1279	526	73
1280	527	94
1281	527	92
1282	528	366
1283	528	320
1284	528	76
1285	528	92
1286	529	105
1287	529	183
1288	529	367
1289	529	197
1290	529	109
1291	529	368
1292	530	369
1293	531	368
1294	531	370
1295	531	371
1296	532	372
1297	532	373
1298	532	374
1299	532	375
1300	532	173
1301	532	376
1302	532	374
1303	532	377
1304	532	270
1305	533	183
1306	533	378
1307	533	379
1308	533	139
1309	533	380
1310	533	381
1311	533	102
1312	533	110
1313	533	110
1314	534	368
1315	534	103
1316	534	382
1317	535	102
1318	535	106
1319	535	106
1320	535	93
1321	536	183
1322	536	110
1323	536	139
1324	537	110
1325	537	110
1326	537	112
1327	537	368
1328	537	110
1329	537	368
1330	537	110
1331	537	102
1332	537	368
1333	537	110
